balance_id,account_id,snapshot_month,statement_balance_cad,credit_limit_cad,utilization_rate,minimum_payment_cad,amount_paid_cad,days_past_due
BAL24C43D9D6CD2,ACC79CD05D28EF8,2022-02-01,519.89,1500,0.3466,25,464.31,2
BAL5D7B9ACFDC48,ACC79CD05D28EF8,2022-03-01,693.84,1500,0.4626,25,373.42,0
BALCB6399156A4B,ACC79CD05D28EF8,2022-04-01,718.98,1500,0.4793,25,141.12,2
BALF50B1BB806B8,ACC79CD05D28EF8,2022-05-01,636.29,1500,0.4242,25,178.83,0
BAL1939B0D35C40,ACC79CD05D28EF8,2022-06-01,808.23,1500,0.5388,25,612.22,1
BAL8F8B7C130319,ACC79CD05D28EF8,2022-07-01,656.01,1500,0.4373,25,616.13,5
BAL99C545DE298F,ACC79CD05D28EF8,2022-08-01,692.6,1500,0.4617,25,60.93,1
BALA7AA24DB9974,ACC79CD05D28EF8,2022-09-01,990.61,1500,0.6604,29.72,129.58,0
BAL0369B17DB243,ACC79CD05D28EF8,2022-10-01,1099.66,1500,0.7331,32.99,122.92,5
BAL4FA7F6420811,ACC79CD05D28EF8,2022-11-01,1014.34,1500,0.6762,30.43,756.16,0
BAL088392C799C0,ACC79CD05D28EF8,2022-12-01,1035.92,1500,0.6906,31.08,158.1,0
BAL1A82C395A75D,ACC79CD05D28EF8,2023-01-01,853.5,1500,0.569,25.61,321.04,0
BALE9935AE0CD80,ACC79CD05D28EF8,2023-02-01,1111.14,1500,0.7408,33.33,964.82,0
BAL5AF0E7306C8D,ACC79CD05D28EF8,2023-03-01,1378.57,1500,0.919,41.36,774.88,2
BAL3AE052396788,ACC79CD05D28EF8,2023-04-01,1246.13,1500,0.8308,37.38,1183.86,0
BAL6B7E03B440FB,ACC79CD05D28EF8,2023-05-01,1274.4,1500,0.8496,38.23,964.01,0
BALC601894B195D,ACC79CD05D28EF8,2023-06-01,1500,1500,1.0,45.0,677.89,0
BAL7EB22887FFAB,ACC79CD05D28EF8,2023-07-01,1500,1500,1.0,45.0,745.8,0
BALB8B97FCFB1E9,ACC79CD05D28EF8,2023-08-01,1413.56,1500,0.9424,42.41,165.2,0
BAL40CAE9A26F6D,ACC79CD05D28EF8,2023-09-01,1291.42,1500,0.8609,38.74,51.96,5
BAL30F0CE486EF7,ACC79CD05D28EF8,2023-10-01,1353.08,1500,0.9021,40.59,1035.84,3
BAL89235B1989A4,ACC79CD05D28EF8,2023-11-01,1420.63,1500,0.9471,42.62,990.37,3
BAL5D903DFB76EB,ACC79CD05D28EF8,2023-12-01,1466.6,1500,0.9777,44.0,1118.74,0
BALF82562F59EE6,ACC79CD05D28EF8,2024-01-01,1500,1500,1.0,45.0,913.64,8
BAL7496734E95F8,ACC79CD05D28EF8,2024-02-01,1500,1500,1.0,45.0,842.65,4
