payment_id,account_id,payment_date,payment_amount_cad,payment_method,payment_status
PAY43F10A43F18D,ACC79CD05D28EF8,2022-03-26,353.98,interac,settled
PAYA1D9180B32B9,ACC79CD05D28EF8,2024-07-02,258.0,interac,settled
PAY0976874B3932,ACC79CD05D28EF8,2024-06-05,111.65,pad,settled
PAYFA278C1E3564,ACC79CD05D28EF8,2024-09-17,224.99,pad,settled
PAY70FF7B3F6069,ACC79CD05D28EF8,2023-06-19,114.08,pad,settled
PAYA4C8CB6EFB20,ACC79CD05D28EF8,2025-01-09,223.45,manual,settled
PAYD9219C48A069,ACC79CD05D28EF8,2025-01-10,376.7,interac,settled
PAYEC7ED33C6FE6,ACC79CD05D28EF8,2023-07-20,121.97,interac,settled
PAY7AD50FC0F35F,ACC79CD05D28EF8,2024-11-29,281.59,interac,settled
PAY54606542899D,ACC79CD05D28EF8,2022-10-29,353.2,eft,settled
PAYA5605DF7EA95,ACC79CD05D28EF8,2023-06-25,129.02,interac,settled
PAYBB3533C00C03,ACC79CD05D28EF8,2022-03-18,158.27,eft,settled
PAY9F4D4C6D7AD2,ACC79CD05D28EF8,2024-06-27,188.73,pad,settled
PAY3EA8CE90509F,ACC79CD05D28EF8,2022-03-22,75.37,pad,settled
PAYC6951107CCDD,ACC79CD05D28EF8,2024-01-13,230.51,eft,settled
PAY8B6A016D7EB0,ACC79CD05D28EF8,2024-02-08,238.8,manual,settled
PAYFDD33C872C4F,ACC79CD05D28EF8,2022-05-24,315.08,eft,settled
PAY252BA1CCE0F4,ACC79CD05D28EF8,2024-09-19,374.34,eft,settled
PAY46C1BD7B3ABF,ACC79CD05D28EF8,2023-03-20,212.59,eft,settled
PAY204142BCF2DE,ACC79CD05D28EF8,2022-10-04,270.26,interac,settled
PAY86DBF68280B8,ACC79CD05D28EF8,2024-06-27,443.42,interac,settled
PAY9BDAF79E2FB5,ACC79CD05D28EF8,2024-06-03,303.71,manual,settled
PAYBAD0C4B17C20,ACC79CD05D28EF8,2023-03-22,209.7,manual,settled
PAY19EDA2EA7BA3,ACC79CD05D28EF8,2024-10-17,445.6,manual,returned
PAY7B47EE2FA87F,ACC99EA03B346CB,2024-08-12,112.98,manual,settled
PAYC0D4A8213E2E,ACC99EA03B346CB,2025-02-14,296.01,pad,returned
PAY47EAE57CE97B,ACC99EA03B346CB,2024-06-03,352.24,eft,settled
PAYD96DBCB2059E,ACC99EA03B346CB,2024-07-20,360.98,manual,returned
PAYFEA2F3DD6641,ACC99EA03B346CB,2024-12-06,371.23,pad,settled
PAY0B5C18376B83,ACC99EA03B346CB,2024-05-12,147.47,interac,settled
PAYD673936F27BA,ACC99EA03B346CB,2025-03-23,415.72,eft,settled
PAY6240B9B5D732,ACC99EA03B346CB,2024-12-01,407.2,manual,settled
PAYD73261658189,ACC99EA03B346CB,2024-08-23,44.45,manual,settled
PAY516A2F524D35,ACC99EA03B346CB,2024-08-01,425.23,eft,settled
